opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
128,prostate,3,0.1,0.001,7,0.9015999756360723,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_7,0.6091966398909155
129,prostate,3,1.0,0.001,5,0.9134442366332319,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_5,0.6091966398909155
130,prostate,3,1.0,0.001,6,0.9212041275108097,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_6,0.6091966398909155
131,prostate,3,1.0,0.001,7,0.9015999756360723,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_7,0.6091966398909155
132,prostate,5,0.0,0.001,5,0.9508821144684315,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_5,0.6091966398909155
133,prostate,5,0.0,0.001,6,0.9351926164381825,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_6,0.6091966398909155
134,prostate,5,0.0,0.001,7,0.9005858096259737,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_7,0.6091966398909155
135,prostate,5,0.01,0.001,5,0.8657144126457509,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_5,0.6091966398909155
136,prostate,5,0.01,0.001,6,0.8917158540701907,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_6,0.6091966398909155
137,prostate,5,0.01,0.001,7,0.89009500593753,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_7,0.6091966398909155
138,prostate,5,0.1,0.001,5,0.8657144126457509,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_5,0.6091966398909155
139,prostate,5,0.1,0.001,6,0.8917158540701907,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_6,0.6091966398909155
140,prostate,5,0.1,0.001,7,0.89009500593753,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_7,0.6091966398909155
141,prostate,5,1.0,0.001,5,0.8657144126457509,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_5,0.6091966398909155
142,prostate,5,1.0,0.001,6,0.8917158540701907,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_6,0.6091966398909155
143,prostate,5,1.0,0.001,7,0.89009500593753,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_7,0.6091966398909155
