opt,name,kernal_size,lamda,sigma,dilation_level,fd
360,prostate,7,2.0,0.02,7,0.6023414429077081
361,prostate,7,2.0,0.02,9,0.6341614407896234
362,prostate,7,2.0,0.02,12,0.6494063613135236
363,prostate,7,2.0,0.02,14,0.6402012027414425
364,prostate,7,5.0,0.02,0,0.29317607797706163
365,prostate,7,5.0,0.02,3,0.43229436336403904
366,prostate,7,5.0,0.02,5,0.522605000806918
367,prostate,7,5.0,0.02,7,0.6023414429077081
368,prostate,7,5.0,0.02,9,0.6341614407896234
369,prostate,7,5.0,0.02,12,0.6494063613135236
370,prostate,7,5.0,0.02,14,0.6402012027414425
371,prostate,7,10.0,0.02,0,0.29317607797706163
372,prostate,7,10.0,0.02,3,0.43229436336403904
373,prostate,7,10.0,0.02,5,0.522605000806918
374,prostate,7,10.0,0.02,7,0.6023414429077081
375,prostate,7,10.0,0.02,9,0.6341614407896234
376,prostate,7,10.0,0.02,12,0.6494063613135236
377,prostate,7,10.0,0.02,14,0.6402012027414425
378,prostate,3,0.0,0.03,0,0.29317607797706163
379,prostate,3,0.0,0.03,3,0.6770025145904832
380,prostate,3,0.0,0.03,5,0.8513409319307439
381,prostate,3,0.0,0.03,7,0.8015674863690674
382,prostate,3,0.0,0.03,9,0.6883796718358589
383,prostate,3,0.0,0.03,12,0.5361163659276773
384,prostate,3,0.0,0.03,14,0.45644296366613496
385,prostate,3,0.1,0.03,0,0.29317607797706163
386,prostate,3,0.1,0.03,3,0.44248524100570935
387,prostate,3,0.1,0.03,5,0.5273132268378872
388,prostate,3,0.1,0.03,7,0.6051462557846873
389,prostate,3,0.1,0.03,9,0.640096074449718
390,prostate,3,0.1,0.03,12,0.6453581807806067
391,prostate,3,0.1,0.03,14,0.6464330911484155
392,prostate,3,1.0,0.03,0,0.29317607797706163
393,prostate,3,1.0,0.03,3,0.44248447061240137
394,prostate,3,1.0,0.03,5,0.5273132268378872
395,prostate,3,1.0,0.03,7,0.6051469101674494
396,prostate,3,1.0,0.03,9,0.6400987047434386
397,prostate,3,1.0,0.03,12,0.6453682305208063
398,prostate,3,1.0,0.03,14,0.646447011528262
399,prostate,3,2.0,0.03,0,0.29317607797706163
400,prostate,3,2.0,0.03,3,0.44248447061240137
401,prostate,3,2.0,0.03,5,0.5273132268378872
402,prostate,3,2.0,0.03,7,0.6051469101674494
403,prostate,3,2.0,0.03,9,0.6400987047434386
404,prostate,3,2.0,0.03,12,0.6453682305208063
405,prostate,3,2.0,0.03,14,0.646447011528262
406,prostate,3,5.0,0.03,0,0.29317607797706163
407,prostate,3,5.0,0.03,3,0.44248524100570935
408,prostate,3,5.0,0.03,5,0.5273125177844161
409,prostate,3,5.0,0.03,7,0.6051456152467432
410,prostate,3,5.0,0.03,9,0.6400990090934761
411,prostate,3,5.0,0.03,12,0.6453680746906862
412,prostate,3,5.0,0.03,14,0.6464470047220673
413,prostate,3,10.0,0.03,0,0.29317607797706163
414,prostate,3,10.0,0.03,3,0.44248524100570935
415,prostate,3,10.0,0.03,5,0.5273125177844161
416,prostate,3,10.0,0.03,7,0.6051456152467432
417,prostate,3,10.0,0.03,9,0.6400990090934761
418,prostate,3,10.0,0.03,12,0.6453680746906862
419,prostate,3,10.0,0.03,14,0.6464470047220673
420,prostate,5,0.0,0.03,0,0.29317607797706163
421,prostate,5,0.0,0.03,3,0.6770025145904832
422,prostate,5,0.0,0.03,5,0.8513409319307439
423,prostate,5,0.0,0.03,7,0.8015674863690674
424,prostate,5,0.0,0.03,9,0.6883796718358589
425,prostate,5,0.0,0.03,12,0.5361163659276773
426,prostate,5,0.0,0.03,14,0.45644296366613496
427,prostate,5,0.1,0.03,0,0.29317607797706163
428,prostate,5,0.1,0.03,3,0.4298487650207963
429,prostate,5,0.1,0.03,5,0.5146304511163805
430,prostate,5,0.1,0.03,7,0.5926169044815037
431,prostate,5,0.1,0.03,9,0.6265690076833778
432,prostate,5,0.1,0.03,12,0.6369111602808747
433,prostate,5,0.1,0.03,14,0.6361243141393783
434,prostate,5,1.0,0.03,0,0.29317607797706163
435,prostate,5,1.0,0.03,3,0.4298487650207963
436,prostate,5,1.0,0.03,5,0.5146304511163805
437,prostate,5,1.0,0.03,7,0.5926176800980545
438,prostate,5,1.0,0.03,9,0.6265706908810846
439,prostate,5,1.0,0.03,12,0.6369126555402184
440,prostate,5,1.0,0.03,14,0.6361256018676907
441,prostate,5,2.0,0.03,0,0.29317607797706163
442,prostate,5,2.0,0.03,3,0.4298487650207963
443,prostate,5,2.0,0.03,5,0.5146304511163805
444,prostate,5,2.0,0.03,7,0.5926176800980545
445,prostate,5,2.0,0.03,9,0.6265706908810846
446,prostate,5,2.0,0.03,12,0.6369126555402184
447,prostate,5,2.0,0.03,14,0.6361256018676907
448,prostate,5,5.0,0.03,0,0.29317607797706163
