opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
6,prostate,3,0.1,100,5,0.620387675,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_5,0.60919664
35,prostate,3,1,10,7,0.620387643,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_7,0.60919664
29,prostate,3,0.01,10,7,0.620387483,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_7,0.60919664
52,prostate,3,0.01,1,6,0.620381451,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_6,0.60919664
55,prostate,3,0.1,1,6,0.620381451,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_6,0.60919664
58,prostate,3,1,1,6,0.620381451,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_6,0.60919664
9,prostate,3,1,100,5,0.620373681,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_5,0.60919664
31,prostate,3,0.1,10,6,0.620344829,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_6,0.60919664
34,prostate,3,1,10,6,0.620340809,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_6,0.60919664
28,prostate,3,0.01,10,6,0.620340649,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_6,0.60919664
51,prostate,3,0.01,1,5,0.620334117,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_5,0.60919664
54,prostate,3,0.1,1,5,0.620334117,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_5,0.60919664
57,prostate,3,1,1,5,0.620334117,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_5,0.60919664
30,prostate,3,0.1,10,5,0.620297495,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_5,0.60919664
33,prostate,3,1,10,5,0.620293475,name_prostate_kernal_size_3_lamda_1.0_sigma_10.0_dilation_level_5,0.60919664
27,prostate,3,0.01,10,5,0.620293315,name_prostate_kernal_size_3_lamda_0.01_sigma_10.0_dilation_level_5,0.60919664
65,prostate,5,0.01,1,7,0.615378629,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_7,0.60919664
68,prostate,5,0.1,1,7,0.615378629,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_7,0.60919664
71,prostate,5,1,1,7,0.615378629,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_7,0.60919664
64,prostate,5,0.01,1,6,0.615307042,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_6,0.60919664
67,prostate,5,0.1,1,6,0.615307042,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_6,0.60919664
70,prostate,5,1,1,6,0.615307042,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_6,0.60919664
63,prostate,5,0.01,1,5,0.615217569,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_5,0.60919664
66,prostate,5,0.1,1,5,0.615217569,name_prostate_kernal_size_5_lamda_0.1_sigma_1.0_dilation_level_5,0.60919664
69,prostate,5,1,1,5,0.615217569,name_prostate_kernal_size_5_lamda_1.0_sigma_1.0_dilation_level_5,0.60919664
15,prostate,5,0.01,100,5,0.615037208,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_5,0.60919664
16,prostate,5,0.01,100,6,0.615036855,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_6,0.60919664
17,prostate,5,0.01,100,7,0.615036855,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_7,0.60919664
18,prostate,5,0.1,100,5,0.615028287,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_5,0.60919664
19,prostate,5,0.1,100,6,0.615027935,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_6,0.60919664
20,prostate,5,0.1,100,7,0.615027935,name_prostate_kernal_size_5_lamda_0.1_sigma_100.0_dilation_level_7,0.60919664
21,prostate,5,1,100,5,0.615025121,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_5,0.60919664
22,prostate,5,1,100,6,0.615024769,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_6,0.60919664
23,prostate,5,1,100,7,0.615024769,name_prostate_kernal_size_5_lamda_1.0_sigma_100.0_dilation_level_7,0.60919664
39,prostate,5,0.01,10,5,0.615011268,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_5,0.60919664
42,prostate,5,0.1,10,5,0.615011268,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_5,0.60919664
45,prostate,5,1,10,5,0.615011268,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_5,0.60919664
40,prostate,5,0.01,10,6,0.615010916,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_6,0.60919664
41,prostate,5,0.01,10,7,0.615010916,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_7,0.60919664
43,prostate,5,0.1,10,6,0.615010916,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_6,0.60919664
44,prostate,5,0.1,10,7,0.615010916,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_7,0.60919664
46,prostate,5,1,10,6,0.615010916,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_6,0.60919664
47,prostate,5,1,10,7,0.615010916,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_7,0.60919664
