opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
225,prostate,5,0.01,0.001,5,0.624494278,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_5,0.458471518
230,prostate,5,0.1,0.001,5,0.624494278,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_5,0.458471518
235,prostate,5,1,0.001,5,0.624494278,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_5,0.458471518
178,prostate,3,1,0.01,9,0.623387239,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_9,0.458471518
188,prostate,5,0.01,0.01,9,0.611146545,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_9,0.458471518
193,prostate,5,0.1,0.01,9,0.611146545,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_9,0.458471518
198,prostate,5,1,0.01,9,0.610832446,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_9,0.458471518
167,prostate,3,0.01,0.01,7,0.5870067,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_7,0.458471518
172,prostate,3,0.1,0.01,7,0.58700547,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_7,0.458471518
177,prostate,3,1,0.01,7,0.586097534,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_7,0.458471518
187,prostate,5,0.01,0.01,7,0.576550288,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_7,0.458471518
192,prostate,5,0.1,0.01,7,0.576550288,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_7,0.458471518
197,prostate,5,1,0.01,7,0.57618748,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_7,0.458471518
166,prostate,3,0.01,0.01,6,0.568302631,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_6,0.458471518
171,prostate,3,0.1,0.01,6,0.568302268,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_6,0.458471518
176,prostate,3,1,0.01,6,0.567731052,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_6,0.458471518
186,prostate,5,0.01,0.01,6,0.559227259,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_6,0.458471518
191,prostate,5,0.1,0.01,6,0.559227259,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_6,0.458471518
196,prostate,5,1,0.01,6,0.559019569,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_6,0.458471518
165,prostate,3,0.01,0.01,5,0.549450936,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_5,0.458471518
170,prostate,3,0.1,0.01,5,0.549449618,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_5,0.458471518
175,prostate,3,1,0.01,5,0.548965984,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_5,0.458471518
185,prostate,5,0.01,0.01,5,0.540702119,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_5,0.458471518
190,prostate,5,0.1,0.01,5,0.540702119,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_5,0.458471518
195,prostate,5,1,0.01,5,0.540507819,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_5,0.458471518
129,prostate,3,0.01,0.1,11,0.471355018,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_11,0.458471518
134,prostate,3,0.1,0.1,11,0.471355018,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_11,0.458471518
139,prostate,3,1,0.1,11,0.471355018,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_11,0.458471518
128,prostate,3,0.01,0.1,9,0.470683736,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_9,0.458471518
133,prostate,3,0.1,0.1,9,0.470683736,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_9,0.458471518
138,prostate,3,1,0.1,9,0.470683736,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_9,0.458471518
127,prostate,3,0.01,0.1,7,0.469879974,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_7,0.458471518
132,prostate,3,0.1,0.1,7,0.469879974,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_7,0.458471518
137,prostate,3,1,0.1,7,0.469879974,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_7,0.458471518
126,prostate,3,0.01,0.1,6,0.469259762,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_6,0.458471518
131,prostate,3,0.1,0.1,6,0.469259762,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_6,0.458471518
136,prostate,3,1,0.1,6,0.469259762,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_6,0.458471518
149,prostate,5,0.01,0.1,11,0.469019774,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_11,0.458471518
154,prostate,5,0.1,0.1,11,0.469019774,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_11,0.458471518
159,prostate,5,1,0.1,11,0.469019774,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_11,0.458471518
148,prostate,5,0.01,0.1,9,0.468258637,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_9,0.458471518
153,prostate,5,0.1,0.1,9,0.468258637,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_9,0.458471518
158,prostate,5,1,0.1,9,0.468258637,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_9,0.458471518
125,prostate,3,0.01,0.1,5,0.467901278,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_5,0.458471518
130,prostate,3,0.1,0.1,5,0.467901278,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_5,0.458471518
135,prostate,3,1,0.1,5,0.467901278,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_5,0.458471518
147,prostate,5,0.01,0.1,7,0.467359847,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_7,0.458471518
152,prostate,5,0.1,0.1,7,0.467359847,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_7,0.458471518
157,prostate,5,1,0.1,7,0.467359847,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_7,0.458471518
146,prostate,5,0.01,0.1,6,0.467011209,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_6,0.458471518
151,prostate,5,0.1,0.1,6,0.467011209,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_6,0.458471518
156,prostate,5,1,0.1,6,0.467011209,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_6,0.458471518
145,prostate,5,0.01,0.1,5,0.466816391,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_5,0.458471518
150,prostate,5,0.1,0.1,5,0.466816391,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_5,0.458471518
155,prostate,5,1,0.1,5,0.466816391,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_5,0.458471518
5,prostate,3,0.01,100,5,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_5,0.458471518
6,prostate,3,0.01,100,6,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_6,0.458471518
7,prostate,3,0.01,100,7,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_7,0.458471518
8,prostate,3,0.01,100,9,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_9,0.458471518
9,prostate,3,0.01,100,11,0.458471518,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_11,0.458471518
10,prostate,3,0.1,100,5,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_5,0.458471518
11,prostate,3,0.1,100,6,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_6,0.458471518
12,prostate,3,0.1,100,7,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_7,0.458471518
13,prostate,3,0.1,100,9,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_9,0.458471518
14,prostate,3,0.1,100,11,0.458471518,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_11,0.458471518
15,prostate,3,1,100,5,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_5,0.458471518
16,prostate,3,1,100,6,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_6,0.458471518
17,prostate,3,1,100,7,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_7,0.458471518
18,prostate,3,1,100,9,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_9,0.458471518
19,prostate,3,1,100,11,0.458471518,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_11,0.458471518
25,prostate,5,0.01,100,5,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_5,0.458471518
26,prostate,5,0.01,100,6,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_6,0.458471518
27,prostate,5,0.01,100,7,0.458471518,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_7,0.458471518
