opt,name,kernal_size,lamda,sigma,dilation_level,fd
225,cardiac,7,1.0,0.01,3,0.4435413718586373
226,cardiac,7,1.0,0.01,5,0.6652483129707637
227,cardiac,7,1.0,0.01,7,0.8019675008473337
228,cardiac,7,1.0,0.01,9,0.8077366347234709
229,cardiac,7,1.0,0.01,12,0.7997877643050714
230,cardiac,7,1.0,0.01,14,0.795148001199357
231,cardiac,7,2.0,0.01,0,0.1869135328646839
232,cardiac,7,2.0,0.01,3,0.4435413718586373
233,cardiac,7,2.0,0.01,5,0.6652483129707637
234,cardiac,7,2.0,0.01,7,0.8019675008473337
235,cardiac,7,2.0,0.01,9,0.8077366347234709
236,cardiac,7,2.0,0.01,12,0.7997877643050714
237,cardiac,7,2.0,0.01,14,0.795148001199357
238,cardiac,7,5.0,0.01,0,0.1869135328646839
239,cardiac,7,5.0,0.01,3,0.4435413718586373
240,cardiac,7,5.0,0.01,5,0.6652483129707637
241,cardiac,7,5.0,0.01,7,0.8019675008473337
242,cardiac,7,5.0,0.01,9,0.8077366347234709
243,cardiac,7,5.0,0.01,12,0.7997881140772292
244,cardiac,7,5.0,0.01,14,0.795148001199357
245,cardiac,7,10.0,0.01,0,0.1869135328646839
246,cardiac,7,10.0,0.01,3,0.4435413718586373
247,cardiac,7,10.0,0.01,5,0.6652483129707637
248,cardiac,7,10.0,0.01,7,0.8019675008473337
249,cardiac,7,10.0,0.01,9,0.8077366347234709
250,cardiac,7,10.0,0.01,12,0.7997881140772292
251,cardiac,7,10.0,0.01,14,0.795148001199357
252,cardiac,3,0.0,0.02,0,0.1869135328646839
253,cardiac,3,0.0,0.02,3,0.6675447773248978
254,cardiac,3,0.0,0.02,5,0.7574114962797962
255,cardiac,3,0.0,0.02,7,0.6352669751818419
256,cardiac,3,0.0,0.02,9,0.4887029350204753
257,cardiac,3,0.0,0.02,12,0.34119565002572927
258,cardiac,3,0.0,0.02,14,0.2756869383445312
259,cardiac,3,0.1,0.02,0,0.1869135328646839
260,cardiac,3,0.1,0.02,3,0.4310603106751437
261,cardiac,3,0.1,0.02,5,0.6514542477023696
262,cardiac,3,0.1,0.02,7,0.7776169767659026
263,cardiac,3,0.1,0.02,9,0.7783166397973337
264,cardiac,3,0.1,0.02,12,0.7649828784723369
265,cardiac,3,0.1,0.02,14,0.7570871338939096
266,cardiac,3,1.0,0.02,0,0.1869135328646839
267,cardiac,3,1.0,0.02,3,0.431061253482917
268,cardiac,3,1.0,0.02,5,0.6514544695691644
269,cardiac,3,1.0,0.02,7,0.7776294994991639
270,cardiac,3,1.0,0.02,9,0.7783624748442753
271,cardiac,3,1.0,0.02,12,0.7650577295530712
272,cardiac,3,1.0,0.02,14,0.7571864191763338
273,cardiac,3,2.0,0.02,0,0.1869135328646839
274,cardiac,3,2.0,0.02,3,0.431061253482917
275,cardiac,3,2.0,0.02,5,0.6514544695691644
276,cardiac,3,2.0,0.02,7,0.7776294994991639
277,cardiac,3,2.0,0.02,9,0.7783624748442753
278,cardiac,3,2.0,0.02,12,0.7650577295530712
279,cardiac,3,2.0,0.02,14,0.7571864191763338
280,cardiac,3,5.0,0.02,0,0.1869135328646839
281,cardiac,3,5.0,0.02,3,0.431061253482917
282,cardiac,3,5.0,0.02,5,0.6514544695691644
283,cardiac,3,5.0,0.02,7,0.7776297705960782
284,cardiac,3,5.0,0.02,9,0.7783624748442753
285,cardiac,3,5.0,0.02,12,0.7650581381568697
286,cardiac,3,5.0,0.02,14,0.7571868277801324
287,cardiac,3,10.0,0.02,0,0.1869135328646839
288,cardiac,3,10.0,0.02,3,0.431061253482917
289,cardiac,3,10.0,0.02,5,0.6514544695691644
290,cardiac,3,10.0,0.02,7,0.7776297705960782
291,cardiac,3,10.0,0.02,9,0.7783624748442753
292,cardiac,3,10.0,0.02,12,0.7650581381568697
293,cardiac,3,10.0,0.02,14,0.7571868277801324
294,cardiac,5,0.0,0.02,0,0.1869135328646839
295,cardiac,5,0.0,0.02,3,0.6675447773248978
296,cardiac,5,0.0,0.02,5,0.7574114962797962
297,cardiac,5,0.0,0.02,7,0.6352669751818419
298,cardiac,5,0.0,0.02,9,0.4887029350204753
299,cardiac,5,0.0,0.02,12,0.34119565002572927
300,cardiac,5,0.0,0.02,14,0.2756869383445312
301,cardiac,5,0.1,0.02,0,0.1869135328646839
302,cardiac,5,0.1,0.02,3,0.424327543633757
303,cardiac,5,0.1,0.02,5,0.649310203851208
304,cardiac,5,0.1,0.02,7,0.785670479108647
305,cardiac,5,0.1,0.02,9,0.7908191288552808
306,cardiac,5,0.1,0.02,12,0.7854893423543126
307,cardiac,5,0.1,0.02,14,0.7823470224703315
308,cardiac,5,1.0,0.02,0,0.1869135328646839
309,cardiac,5,1.0,0.02,3,0.424327543633757
310,cardiac,5,1.0,0.02,5,0.649310203851208
311,cardiac,5,1.0,0.02,7,0.7856760307702837
312,cardiac,5,1.0,0.02,9,0.7908248872244076
313,cardiac,5,1.0,0.02,12,0.7854997363360956
314,cardiac,5,1.0,0.02,14,0.7823669623319687
315,cardiac,5,2.0,0.02,0,0.1869135328646839
316,cardiac,5,2.0,0.02,3,0.424327543633757
317,cardiac,5,2.0,0.02,5,0.649310203851208
318,cardiac,5,2.0,0.02,7,0.7856760307702837
319,cardiac,5,2.0,0.02,9,0.7908248872244076
320,cardiac,5,2.0,0.02,12,0.7854997363360956
321,cardiac,5,2.0,0.02,14,0.7823669623319687
322,cardiac,5,5.0,0.02,0,0.1869135328646839
323,cardiac,5,5.0,0.02,3,0.424327543633757
324,cardiac,5,5.0,0.02,5,0.649310203851208
325,cardiac,5,5.0,0.02,7,0.7856760307702837
326,cardiac,5,5.0,0.02,9,0.7908248872244076
327,cardiac,5,5.0,0.02,12,0.7854997363360956
328,cardiac,5,5.0,0.02,14,0.7823669623319687
329,cardiac,5,10.0,0.02,0,0.1869135328646839
330,cardiac,5,10.0,0.02,3,0.424327543633757
331,cardiac,5,10.0,0.02,5,0.649310203851208
332,cardiac,5,10.0,0.02,7,0.7856760307702837
333,cardiac,5,10.0,0.02,9,0.7908248872244076
334,cardiac,5,10.0,0.02,12,0.7854997363360956
335,cardiac,5,10.0,0.02,14,0.7823669623319687
336,cardiac,7,0.0,0.02,0,0.1869135328646839
337,cardiac,7,0.0,0.02,3,0.6675447773248978
338,cardiac,7,0.0,0.02,5,0.7574114962797962
339,cardiac,7,0.0,0.02,7,0.6352669751818419
340,cardiac,7,0.0,0.02,9,0.4887029350204753
341,cardiac,7,0.0,0.02,12,0.34119565002572927
342,cardiac,7,0.0,0.02,14,0.2756869383445312
343,cardiac,7,0.1,0.02,0,0.1869135328646839
344,cardiac,7,0.1,0.02,3,0.42086727371088867
345,cardiac,7,0.1,0.02,5,0.6498697410773462
346,cardiac,7,0.1,0.02,7,0.7849326044689433
347,cardiac,7,0.1,0.02,9,0.792748577810647
348,cardiac,7,0.1,0.02,12,0.7899851306444511
349,cardiac,7,0.1,0.02,14,0.7889204051329294
350,cardiac,7,1.0,0.02,0,0.1869135328646839
351,cardiac,7,1.0,0.02,3,0.42086727371088867
352,cardiac,7,1.0,0.02,5,0.6498697410773462
353,cardiac,7,1.0,0.02,7,0.7849381760400534
354,cardiac,7,1.0,0.02,9,0.7927534454664327
355,cardiac,7,1.0,0.02,12,0.7899891896997886
356,cardiac,7,1.0,0.02,14,0.7889400908620289
357,cardiac,7,2.0,0.02,0,0.1869135328646839
358,cardiac,7,2.0,0.02,3,0.42086727371088867
359,cardiac,7,2.0,0.02,5,0.6498697410773462
360,cardiac,7,2.0,0.02,7,0.7849381760400534
361,cardiac,7,2.0,0.02,9,0.7927534454664327
362,cardiac,7,2.0,0.02,12,0.7899891896997886
363,cardiac,7,2.0,0.02,14,0.7889400908620289
364,cardiac,7,5.0,0.02,0,0.1869135328646839
365,cardiac,7,5.0,0.02,3,0.42086727371088867
366,cardiac,7,5.0,0.02,5,0.6498697410773462
367,cardiac,7,5.0,0.02,7,0.7849381760400534
368,cardiac,7,5.0,0.02,9,0.7927534454664327
369,cardiac,7,5.0,0.02,12,0.7899891896997886
370,cardiac,7,5.0,0.02,14,0.7889400908620289
371,cardiac,7,10.0,0.02,0,0.1869135328646839
372,cardiac,7,10.0,0.02,3,0.42086727371088867
373,cardiac,7,10.0,0.02,5,0.6498697410773462
374,cardiac,7,10.0,0.02,7,0.7849381760400534
375,cardiac,7,10.0,0.02,9,0.7927534454664327
376,cardiac,7,10.0,0.02,12,0.7899891896997886
377,cardiac,7,10.0,0.02,14,0.7889400908620289
378,cardiac,3,0.0,0.03,0,0.1869135328646839
379,cardiac,3,0.0,0.03,3,0.6675447773248978
380,cardiac,3,0.0,0.03,5,0.7574114962797962
381,cardiac,3,0.0,0.03,7,0.6352669751818419
382,cardiac,3,0.0,0.03,9,0.4887029350204753
383,cardiac,3,0.0,0.03,12,0.34119565002572927
384,cardiac,3,0.0,0.03,14,0.2756869383445312
385,cardiac,3,0.1,0.03,0,0.1869135328646839
386,cardiac,3,0.1,0.03,3,0.4048966685422014
387,cardiac,3,0.1,0.03,5,0.6205798192768168
388,cardiac,3,0.1,0.03,7,0.7527326291548989
389,cardiac,3,0.1,0.03,9,0.758267059799844
390,cardiac,3,0.1,0.03,12,0.7511685442800781
391,cardiac,3,0.1,0.03,14,0.7467904665842555
392,cardiac,3,1.0,0.03,0,0.1869135328646839
393,cardiac,3,1.0,0.03,3,0.4048966685422014
394,cardiac,3,1.0,0.03,5,0.6205798192768168
395,cardiac,3,1.0,0.03,7,0.7527328558650188
396,cardiac,3,1.0,0.03,9,0.7582723428791645
397,cardiac,3,1.0,0.03,12,0.7511833252603196
398,cardiac,3,1.0,0.03,14,0.7468040351469457
399,cardiac,3,2.0,0.03,0,0.1869135328646839
400,cardiac,3,2.0,0.03,3,0.4048966685422014
401,cardiac,3,2.0,0.03,5,0.6205798192768168
402,cardiac,3,2.0,0.03,7,0.7527328558650188
403,cardiac,3,2.0,0.03,9,0.7582723428791645
404,cardiac,3,2.0,0.03,12,0.7511833252603196
405,cardiac,3,2.0,0.03,14,0.7468040351469457
406,cardiac,3,5.0,0.03,0,0.1869135328646839
407,cardiac,3,5.0,0.03,3,0.4048966685422014
408,cardiac,3,5.0,0.03,5,0.6205798192768168
409,cardiac,3,5.0,0.03,7,0.7527326291548989
410,cardiac,3,5.0,0.03,9,0.7582723428791645
411,cardiac,3,5.0,0.03,12,0.7511833252603196
412,cardiac,3,5.0,0.03,14,0.7468049758853957
413,cardiac,3,10.0,0.03,0,0.1869135328646839
414,cardiac,3,10.0,0.03,3,0.4048966685422014
415,cardiac,3,10.0,0.03,5,0.6205798192768168
416,cardiac,3,10.0,0.03,7,0.7527326291548989
417,cardiac,3,10.0,0.03,9,0.7582723428791645
418,cardiac,3,10.0,0.03,12,0.7511833252603196
419,cardiac,3,10.0,0.03,14,0.7468049758853957
420,cardiac,5,0.0,0.03,0,0.1869135328646839
421,cardiac,5,0.0,0.03,3,0.6675447773248978
422,cardiac,5,0.0,0.03,5,0.7574114962797962
423,cardiac,5,0.0,0.03,7,0.6352669751818419
424,cardiac,5,0.0,0.03,9,0.4887029350204753
425,cardiac,5,0.0,0.03,12,0.34119565002572927
426,cardiac,5,0.0,0.03,14,0.2756869383445312
427,cardiac,5,0.1,0.03,0,0.1869135328646839
428,cardiac,5,0.1,0.03,3,0.4003007235377072
429,cardiac,5,0.1,0.03,5,0.627670586596598
430,cardiac,5,0.1,0.03,7,0.7626575171188049
431,cardiac,5,0.1,0.03,9,0.7723910635227413
432,cardiac,5,0.1,0.03,12,0.7696596421449737
433,cardiac,5,0.1,0.03,14,0.7679788311883977
434,cardiac,5,1.0,0.03,0,0.1869135328646839
435,cardiac,5,1.0,0.03,3,0.4003007235377072
436,cardiac,5,1.0,0.03,5,0.627670586596598
437,cardiac,5,1.0,0.03,7,0.7626575171188049
438,cardiac,5,1.0,0.03,9,0.7723914611182173
439,cardiac,5,1.0,0.03,12,0.7696615691718143
440,cardiac,5,1.0,0.03,14,0.7679807582152383
441,cardiac,5,2.0,0.03,0,0.1869135328646839
442,cardiac,5,2.0,0.03,3,0.4003007235377072
443,cardiac,5,2.0,0.03,5,0.627670586596598
444,cardiac,5,2.0,0.03,7,0.7626575171188049
445,cardiac,5,2.0,0.03,9,0.7723914611182173
446,cardiac,5,2.0,0.03,12,0.7696615691718143
447,cardiac,5,2.0,0.03,14,0.7679807582152383
448,cardiac,5,5.0,0.03,0,0.1869135328646839
449,cardiac,5,5.0,0.03,3,0.4003007235377072
450,cardiac,5,5.0,0.03,5,0.627670586596598
451,cardiac,5,5.0,0.03,7,0.7626575171188049
452,cardiac,5,5.0,0.03,9,0.7723914611182173
453,cardiac,5,5.0,0.03,12,0.7696615691718143
454,cardiac,5,5.0,0.03,14,0.7679807582152383
455,cardiac,5,10.0,0.03,0,0.1869135328646839
456,cardiac,5,10.0,0.03,3,0.4003007235377072
457,cardiac,5,10.0,0.03,5,0.627670586596598
458,cardiac,5,10.0,0.03,7,0.7626575171188049
459,cardiac,5,10.0,0.03,9,0.7723914611182173
460,cardiac,5,10.0,0.03,12,0.7696615691718143
461,cardiac,5,10.0,0.03,14,0.7679807582152383
462,cardiac,7,0.0,0.03,0,0.1869135328646839
463,cardiac,7,0.0,0.03,3,0.6675447773248978
464,cardiac,7,0.0,0.03,5,0.7574114962797962
465,cardiac,7,0.0,0.03,7,0.6352669751818419
466,cardiac,7,0.0,0.03,9,0.4887029350204753
467,cardiac,7,0.0,0.03,12,0.34119565002572927
468,cardiac,7,0.0,0.03,14,0.2756869383445312
469,cardiac,7,0.1,0.03,0,0.1869135328646839
470,cardiac,7,0.1,0.03,3,0.3983821203608564
471,cardiac,7,0.1,0.03,5,0.6309146051892226
472,cardiac,7,0.1,0.03,7,0.764699761183857
473,cardiac,7,0.1,0.03,9,0.7762926956002816
474,cardiac,7,0.1,0.03,12,0.7742925930957247
475,cardiac,7,0.1,0.03,14,0.7738576633488551
476,cardiac,7,1.0,0.03,0,0.1869135328646839
477,cardiac,7,1.0,0.03,3,0.3983821203608564
478,cardiac,7,1.0,0.03,5,0.6309146051892226
479,cardiac,7,1.0,0.03,7,0.764699761183857
480,cardiac,7,1.0,0.03,9,0.7762930884962527
481,cardiac,7,1.0,0.03,12,0.7742945205859729
482,cardiac,7,1.0,0.03,14,0.7738595908391034
483,cardiac,7,2.0,0.03,0,0.1869135328646839
484,cardiac,7,2.0,0.03,3,0.3983821203608564
485,cardiac,7,2.0,0.03,5,0.6309146051892226
486,cardiac,7,2.0,0.03,7,0.764699761183857
487,cardiac,7,2.0,0.03,9,0.7762930884962527
488,cardiac,7,2.0,0.03,12,0.7742945205859729
489,cardiac,7,2.0,0.03,14,0.7738595908391034
490,cardiac,7,5.0,0.03,0,0.1869135328646839
491,cardiac,7,5.0,0.03,3,0.3983821203608564
492,cardiac,7,5.0,0.03,5,0.6309146051892226
493,cardiac,7,5.0,0.03,7,0.764699761183857
494,cardiac,7,5.0,0.03,9,0.7762930884962527
495,cardiac,7,5.0,0.03,12,0.7742945205859729
496,cardiac,7,5.0,0.03,14,0.7738595908391034
